"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"TATASTEEL","Tata Steel Limited","Disclosure of material issue","Tata Steel Limited has informed regarding Disclosure of material issue","13-Oct-2025 19:12:17","2025-10-13 19:12:17","13-Oct-2025 19:12:18","00:00:01","https://nsearchives.nseindia.com/corporate/SWATISHETH_13102025190619_NSEBSE.pdf"
"TATASTEEL","Tata Steel Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Tata Steel Limited has informed the Exchange about Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended September 30, 2025","09-Oct-2025 13:43:01","2025-10-09 13:43:01","09-Oct-2025 13:43:02","00:00:01","https://nsearchives.nseindia.com/corporate/SWATISHETH_09102025134229_BSENSE_Signed.pdf"
"TATASTEEL","Tata Steel Limited","Press Release","Tata Steel Limited has informed the Exchange regarding a press release dated October 09, 2025, titled ""Tata Steel: 2QFY2026 Production andDelivery Volumes (Provisional)"".","09-Oct-2025 11:39:16","2025-10-09 11:39:16","09-Oct-2025 11:39:17","00:00:01","https://nsearchives.nseindia.com/corporate/SWATISHETH_09102025113719_BSENSE_Signed.pdf"
"TATASTEEL","Tata Steel Limited","General Updates","Tata Steel Limited has informed the Exchange about General Updates","04-Oct-2025 19:31:27","2025-10-04 19:31:27","04-Oct-2025 19:31:28","00:00:01","https://nsearchives.nseindia.com/corporate/SAKSHIKAPUR_04102025193102_BSENSE.pdf"
"TATASTEEL","Tata Steel Limited","Updates","Tata Steel Limited has informed the Exchange regarding 'Update in contact details of Registrar and Transfer Agent of Tata Steel Limited'.","30-Sep-2025 22:05:33","2025-09-30 22:05:33","30-Sep-2025 22:05:34","00:00:01","https://nsearchives.nseindia.com/corporate/SWATISHETH_30092025220321_BSENSE.pdf"
"TATASTEEL","Tata Steel Limited","Credit Rating","Tata Steel Limited has informed the Exchange about Credit Rating","30-Sep-2025 18:14:37","2025-09-30 18:14:37","30-Sep-2025 18:14:38","00:00:01","https://nsearchives.nseindia.com/corporate/SWATISHETH_30092025181104_BSENSE.pdf"
"TATASTEEL","Tata Steel Limited","Copy of Newspaper Publication","Tata Steel Limited has informed the Exchange about Copy of Newspaper Publication","30-Sep-2025 16:46:14","2025-09-30 16:46:14","30-Sep-2025 16:46:14","00:00:00","https://nsearchives.nseindia.com/corporate/SWATISHETH_30092025164303_BSENSE.pdf"
"TATASTEEL","Tata Steel Limited","Press Release","Tata Steel Limited has informed the Exchange regarding a press release dated September 29, 2025, titled ""Tata Steel signs the non-binding Joint Letter of Intent with the Government of the Netherlands and the Province of North-Holland on Integrated Decarbonisation and Health measures Project"".","29-Sep-2025 21:19:53","2025-09-29 21:19:53","29-Sep-2025 21:19:54","00:00:01","https://nsearchives.nseindia.com/corporate/SAKSHIKAPUR_29092025211924_NSEBSEPR.pdf"
"TATASTEEL","Tata Steel Limited","Acquisition","Tata Steel Limited has informed the Exchange about Acquisition","24-Sep-2025 18:23:10","2025-09-24 18:23:10","24-Sep-2025 18:23:12","00:00:02","https://nsearchives.nseindia.com/corporate/SWATISHETH_24092025181525_BSENSE.pdf"
