"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"CIPLA","Cipla Limited","Product launch","Cipla Limited has informed the Exchange about Product launch","23-Oct-2025 15:32:21","2025-10-23 15:32:21","23-Oct-2025 15:32:22","00:00:01","https://nsearchives.nseindia.com/corporate/CIPLA_23102025152731_Monsoon_signedRC.pdf"
"CIPLA","Cipla Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cipla Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","19-Oct-2025 15:54:35","2025-10-19 15:54:35","19-Oct-2025 15:54:36","00:00:01","https://nsearchives.nseindia.com/corporate/CIPLA_19102025155422_Certificate_74_5__signed.pdf"
